#Warrio by Kingherb, fixed by vicviper

name	P.Warrior
        frame   data/chars/Warrio/ak2.gif



anim jumpattack2
	loop	0
	offset	69 125
	delay	7
	bbox	56 56 33 61
        frame   data/chars/Warrio/ap1.gif
        frame   data/chars/Warrio/ap2.gif
        attack  76 55 47 63 7
        frame   data/chars/Warrio/ap3.gif
        frame   data/chars/Warrio/ap3.gif
        frame   data/chars/Warrio/ap3.gif
        attack  0 0 0 0 0
        frame   data/chars/Warrio/ap2.gif


anim attack1
	loop	0
	delay	3
	offset	95 178
	bbox	80 87 39 83
        frame   data/chars/Warrio/a1-01.gif
        attack  119 80 91 62 8
        frame   data/chars/Warrio/a1-02.gif
        frame   data/chars/Warrio/a1-02.gif
        attack  0 0 0 0 0
        frame   data/chars/Warrio/a1-01.gif
        frame   data/chars/Warrio/a1-01.gif


anim attack2
        loop	0
	delay	5
	offset	95 178
	bbox	81 108 39 69
	frame	data/chars/Warrio/a2-01.gif
	frame	data/chars/Warrio/a2-02.gif
	bbox    32 117
        attack  122 103 104 39 8
	frame	data/chars/Warrio/a2-03.gif
	frame	data/chars/Warrio/a2-03.gif
	frame	data/chars/Warrio/a2-04.gif
	attack  0 0 0 0 0
	delay	4
	frame	data/chars/Warrio/a2-05.gif
	frame	data/chars/Warrio/a2-06.gif
	frame	data/chars/Warrio/a2-07.gif
	attack  93 61 86 72 20 1
	frame	data/chars/Warrio/a2-08.gif
	attack  0 0 0 0 0
	frame	data/chars/Warrio/a2-09.gif
       	frame	data/chars/Warrio/a2-10.gif
	frame	data/chars/Warrio/a2-11.gif

anim attack3
        loop	0
	delay	3
	offset	95 178
	bbox	81 108 39 69
	frame	data/chars/Warrio/a3-01.gif
	frame	data/chars/Warrio/a3-02.gif
	bbox    32 117
	frame	data/chars/Warrio/a3-03.gif
	frame	data/chars/Warrio/a3-04.gif
	frame	data/chars/Warrio/a3-05.gif
        blast  100 86 91 83 20 1
	frame	data/chars/Warrio/a3-06.gif
        attack  0 0 0 0 0 0
	frame	data/chars/Warrio/a3-06.gif
        blast  106 94 85 85 20 1
	frame	data/chars/Warrio/a3-07.gif
        attack  0 0 0 0 0 0
	frame	data/chars/Warrio/a3-07.gif
	blast  93 39 45 115 20 1
	offset	95 178
	frame	data/chars/Warrio/a3-08.gif
	attack  0 0 0 0 0
	frame	data/chars/Warrio/a3-09.gif
	frame	data/chars/Warrio/a3-10.gif

anim grab
	loop	0
	delay	100
	offset	98 173
	bbox	93 90 32 78
	frame	data/chars/Warrio/grab.gif


anim throw
loop	0
	offset	99 183
	delay	5
	sound	data/chars/Warrio/final.wav
	frame	data/chars/Warrio/throw1.gif
	move	-11
	offset	75 125
	blast	-30 -30 200 200 100 1
	frame	data/chars/Warrio/throw2.gif
	move	-11
	offset	75 140
	frame	data/chars/Warrio/throw2.gif
	move	-11
	offset	75 155
	frame	data/chars/Warrio/throw2.gif
	move	-11
	offset	75 170
	frame	data/chars/Warrio/throw2.gif
	move	-11
	offset	75 185
	frame	data/chars/Warrio/throw3.gif
	move	-11
	offset	75 200
	frame	data/chars/Warrio/throw3.gif
	move	-11
	offset	75 185
	frame	data/chars/Warrio/throw3.gif
	move	-11
	offset	75 170
	frame	data/chars/Warrio/throw3.gif
	move	-11
	offset	75 155
	frame	data/chars/Warrio/throw4.gif
	move	-11
	offset	75 140
	frame	data/chars/Warrio/throw4.gif
	move	-11
	offset	75 125
	frame	data/chars/Warrio/throw4.gif
	move	-11
	offset	75 105
	frame	data/chars/Warrio/throw4.gif
	move	-11
	offset	75 90
	frame	data/chars/Warrio/throw5.gif
	move	-11
	offset	75 80
	frame	data/chars/Warrio/throw5.gif
	DELAY	40
	frame	data/chars/Warrio/throw5.gif
	blast	0 0 0 0 0


anim pain
	loop	0
	offset	99 183
	bbox	72 90 43 83
	delay	15
	frame	data/chars/Warrio/pain1.gif
	frame	data/chars/Warrio/pain2.gif
	frame	data/chars/Warrio/pain1.gif



anim fall
	loop	0
	offset	90 170
	delay	20
	attack	70 87 56 61 17 1
	frame	data/chars/Warrio/fall1.gif
        offset  88 134
	frame	data/chars/Warrio/fall2.gif
	frame	data/chars/Warrio/fall3.gif
        offset  93 124
	frame	data/chars/Warrio/fall4.gif
	frame	data/chars/Warrio/fall5.gif


anim rise
	loop	0
	offset  	93 124
	delay	9
	frame	data/chars/Warrio/rise1.gif
   	frame	data/chars/Warrio/rise2.gif
	frame	data/chars/Warrio/rise3.gif

anim special
	loop	0
	delay	7
	offset	99 183
        sound   data/chars/Warrio/sounds/special.wav
	frame	data/chars/Warrio/ta01.gif
        delay   3
	frame	data/chars/Warrio/ta02.gif
	frame	data/chars/Warrio/ta03.gif
        blast   49 52 105 105 25 1
	frame	data/chars/Warrio/ta04.gif
        attack  0 0 0 0 0 0
        frame	data/chars/Warrio/ta05.gif
	frame	data/chars/Warrio/ta06.gif
        blast   49 52 105 105 25 1
	frame	data/chars/Warrio/ta07.gif
        attack  0 0 0 0 0 0
	frame	data/chars/Warrio/ta08.gif
        blast   49 52 105 105 25 1
	frame	data/chars/Warrio/ta09.gif
        attack  0 0 0 0 0 0
	frame	data/chars/Warrio/ta10.gif
        blast   49 52 105 105 25 1
	frame	data/chars/Warrio/ta11.gif
        attack  0 0 0 0 0 0
	frame	data/chars/Warrio/ta12.gif
        blast   49 52 105 105 25 1
	frame	data/chars/Warrio/ta13.gif
        attack  0 0 0 0 0 0
	frame	data/chars/Warrio/ta14.gif
        blast   49 52 105 105 25 1
	frame	data/chars/Warrio/ta15.gif
        attack  0 0 0 0 0 0
	frame	data/chars/Warrio/ta16.gif
        blast   49 52 105 105 25 1
	frame	data/chars/Warrio/ta17.gif
        attack  0 0 0 0 0 0
	frame	data/chars/Warrio/ta18.gif
        blast   49 52 105 105 25 1
	frame	data/chars/Warrio/ta19.gif
	frame	data/chars/Warrio/ta20.gif
	frame	data/chars/Warrio/ta21.gif
	frame	data/chars/Warrio/ta22.gif
        BLAST   0 0 0 0 0 0
	frame	data/chars/Warrio/ta23.gif
	frame	data/chars/Warrio/ta24.gif
	frame	data/chars/Warrio/ta25.gif

anim freespecial
	loop	0
	delay	2
	offset	95 178
	bbox	22 102 50 92
                sound   data/chars/Warrio/sounds/shot.wav
	frame	data/chars/Warrio/free1.gif
	frame	data/chars/Warrio/free2.gif
	frame	data/chars/Warrio/free3.gif
	frame	data/chars/Warrio/free4.gif
	frame	data/chars/Warrio/free5.gif
	attack  110 88 36 84 20 1
	bbox	25 114 66 78
	frame	data/chars/Warrio/free6.gif
	attack  0 0 0 0 0 0
	frame	data/chars/Warrio/free7.gif
	attack  110 80 91 101 20 1
	frame	data/chars/Warrio/free8.gif
	attack  0 0 0 0 0 0
	frame	data/chars/Warrio/free9.gif
	attack	67 35 112 58 20 1
	frame	data/chars/Warrio/free10.gif
	attack  0 0 0 0 0 0
	frame	data/chars/Warrio/free11.gif
	attack	67 35 112 58 20 1
	frame	data/chars/Warrio/free12.gif
	attack  0 0 0 0 0 0
	frame	data/chars/Warrio/free13.gif
	attack  82 86 68 23 7 1
	frame	data/chars/Warrio/free14.gif
	attack  0 0 0 0 0 0
	frame	data/chars/Warrio/free14.gif
	attack  82 86 68 23 7 1
	frame	data/chars/Warrio/free15.gif
	attack  0 0 0 0 0 0
	frame	data/chars/Warrio/free16.gif
	attack  114 92 64 14 7 1
	frame	data/chars/Warrio/free17.gif
	attack  0 0 0 0 0 0
	frame	data/chars/Warrio/free18.gif
	attack  132 91 68 22 7 1
	frame	data/chars/Warrio/free19.gif
	attack  0 0 0 0 0 0
	frame	data/chars/Warrio/free20.gif
	attack  149 99 78 60 7 1
	frame	data/chars/Warrio/free21.gif
	attack  0 0 0 0 0 0
	frame	data/chars/Warrio/free22.gif
	attack  167 94 79 29 7 1
	frame	data/chars/Warrio/free23.gif
	attack  0 0 0 0 0 0
	frame	data/chars/Warrio/free23.gif
	attack  187 97 73 21 7 1
	frame	data/chars/Warrio/free24.gif
	attack  0 0 0 0 0 0
	frame	data/chars/Warrio/free24.gif
	attack  182 92 89 29 7 1
	frame	data/chars/Warrio/free25.gif
	attack  204 95 88 35 7 1
	frame	data/chars/Warrio/free26.gif
	attack  203 92 108 37 7 1
	frame	data/chars/Warrio/free27.gif
	attack  211 95 106 50 7 1
	frame	data/chars/Warrio/free28.gif
	attack  0 0 0 0 0 0
	frame	data/chars/Warrio/free29.gif
	frame	data/chars/Warrio/free30.gif




anim grabattack
	loop	0
	offset	98 173
	bbox	79 95 41 82
	delay	7
	frame	data/chars/Warrio/a5-01.gif
	frame	data/chars/Warrio/a5-01.gif
        attack  104 87 36 46 10
	frame	data/chars/Warrio/a5-02.gif
        attack  0 0 0 0 0
	frame	data/chars/Warrio/a5-01.gif



anim grabattack2
	loop	0
	delay	6
	offset	98 173
	bbox	62 95 48 67
	frame	data/chars/Warrio/a7-01.gif
	frame	data/chars/Warrio/a7-01.gif
	frame	data/chars/Warrio/a7-02.gif
        attack  90 100 59 63 17 1
	frame	data/chars/Warrio/a7-02.gif
	frame	data/chars/Warrio/a7-03.gif
	frame	data/chars/Warrio/a7-03.gif
        attack  0 0 0 0 0 0
        delay   10
	frame	data/chars/Warrio/a7-02.gif
	frame	data/chars/Warrio/a7-02.gif
	frame	data/chars/Warrio/a7-01.gif


anim land
	loop	0
	delay	10
	offset	99 183
	frame   data/chars/Warrio/get1.gif



